position,title,link,source,snippet,date,absolute_date
1,X says it is closing operations in Brazil due to judge's content orders,https://www.reuters.com/technology/x-close-operations-brazil-effective-immediately-2024-08-17/,Reuters,"Media platform X said on Saturday it would close its operations in Brazil ""effective immediately"" due to what it called ""censorship orders"" by Brazilian judge...","Aug 17, 2024",2024-08-17
2,Brazil ex-minister formally accused of blocking voters in 2022 election,https://www.reuters.com/world/americas/brazil-ex-minister-formally-accused-blocking-voters-2022-election-2024-08-16/,Reuters,"BRASILIA, Aug 16 (Reuters) - Brazil's federal police formally accused the country's former justice minister, who served under ex-President Jair Bolsonaro,...","Aug 16, 2024",2024-08-16
3,Italian businessman arrested in Brazil in mafia investigation,https://www.reuters.com/world/italian-businessman-arrested-brazil-550-million-mafia-investigation-2024-08-13/,Reuters,"ROME, Aug 13 (Reuters) - An Italian businessman was arrested in the Brazilian city of Natal as part of an international investigation into a mafia network...","Aug 13, 2024",2024-08-13
4,Brazil Senate OKs bill regulating payroll tax waivers,https://www.reuters.com/world/americas/brazil-senator-withdraws-proposal-hike-taxes-shareholder-remuneration-2024-08-20/,Reuters,"BRASILIA, Aug 20 (Reuters) - The Brazilian Senate approved a bill on Tuesday containing measures to offset the effects of a payroll tax exemption,...","Aug 20, 2024",2024-08-20
5,"LATAM Airlines mulls possible purchase of up to 30 Embraer jets, Brazil minister says",https://www.reuters.com/business/aerospace-defense/latam-airlines-mulls-possible-purchase-up-30-embraer-jets-brazil-minister-says-2024-08-13/,Reuters,"SAO PAULO, Aug 13 (Reuters) - LATAM Airlines (LTM.SN) , opens new tab could potentially buy as many as 30 aircraft from Brazilian planemaker Embraer (EMBR3.","Aug 13, 2024",2024-08-13
6,Brazil's Lula nods to 'long-term partnership' with China,https://www.reuters.com/world/brazils-lula-nods-long-term-partnership-with-china-2024-08-14/,Reuters,"BRASILIA, Aug 14 (Reuters) - Brazilian President Luiz Inacio Lula da Silva said on Wednesday that he will discuss a ""long-term strategic partnership"" with...","Aug 14, 2024",2024-08-14
7,Brazil Senate committee again postpones vote on central bank financial autonomy,https://www.reuters.com/markets/brazil-senate-committee-again-postpones-vote-central-bank-financial-autonomy-2024-08-14/,Reuters,"BRASILIA, Aug 14 (Reuters) - A Brazilian Senate committee on Wednesday once again postponed a vote on a constitutional amendment proposal to grant financial...","Aug 14, 2024",2024-08-14
8,"Brazil's Lula to name new central bank head in coming weeks, says finance minister",https://www.reuters.com/markets/brazils-lula-name-new-central-bank-head-coming-weeks-says-finance-minister-2024-08-13/,Reuters,"BRASILIA, Aug 13 (Reuters) - Brazilian Finance Minister Fernando Haddad said on Tuesday that President Luiz Inacio Lula da Silva will announce in coming...","Aug 13, 2024",2024-08-13
9,"Venezuelan government has authoritarian bias, says Brazil's Lula",https://www.reuters.com/world/americas/venezuelan-government-has-authoritarian-bias-says-brazils-lula-2024-08-16/,Reuters,"BRASILIA, Aug 16 (Reuters) - Brazilian President Luiz Inacio Lula da Silva said on Friday that he believes the Venezuelan government has authoritarian...","Aug 16, 2024",2024-08-16
10,Brazil and Colombia discuss Venezuelan situation,https://www.reuters.com/world/americas/lula-petro-discuss-venezuela-situation-wednesday-sources-say-2024-08-14/,Reuters,"The presidents of Brazil and Colombia discussed options for negotiating an end to the Venezuelan crisis in a phone call on Wednesday, Brazilian leader Luiz...","Aug 14, 2024",2024-08-14
