date,ifix_value,title_sentiment,snippet_sentiment,average_sentiment
2021-12-01,2581.29,-0.09867,0.0,-0.04933
2021-12-02,2582.87,,,
2021-12-03,2610.67,0.0,-0.5106,-0.2553
2021-12-04,,-0.2263,0.0,-0.11315
2021-12-05,,,,
2021-12-06,2643.1,0.17935,0.5521,0.36572
2021-12-07,2660.89,0.0,0.3612,0.1806
2021-12-08,2673.21,0.2345,-0.09897,0.06777
2021-12-09,2669.06,0.5256,0.296,0.4108
2021-12-10,2673.94,-0.21075,-0.23835,-0.22455
2021-12-11,,,,
2021-12-12,,,,
2021-12-13,2673.92,0.0,0.1806,0.0903
2021-12-14,2668.73,,,
2021-12-15,2676.14,0.07543,0.0282,0.05182
2021-12-16,2681.35,-0.3612,0.0258,-0.1677
2021-12-17,2694.73,,,
2021-12-18,,,,
2021-12-19,,0.3818,0.4215,0.40165
2021-12-20,2695.05,0.0,0.0,0.0
2021-12-21,2703.24,0.262,0.3901,0.32605
2021-12-22,2706.64,0.4466,0.1779,0.31225
2021-12-23,2724.6,0.0,0.10607,0.05303
2021-12-24,,,,
2021-12-25,,,,
2021-12-26,,-0.3454,0.0,-0.1727
2021-12-27,2743.68,-0.5423,-0.8625,-0.7024
2021-12-28,2768.02,-0.9201,-0.5994,-0.75975
2021-12-29,2789.32,,,
2021-12-30,2804.79,-0.2997,-0.3919,-0.3458
2021-12-31,,0.0,0.0,0.0
2022-01-01,,,,
2022-01-02,,,,
2022-01-03,2789.14,0.0,0.0,0.0
2022-01-04,2787.26,-0.16605,-0.17,-0.16802
2022-01-05,2760.14,-0.2167,0.15463,-0.03103
2022-01-06,2757.29,0.15583,-0.0076,0.07412
2022-01-07,2759.57,,,
2022-01-08,,0.5574,0.5574,0.5574
2022-01-09,,-0.7964,-0.7184,-0.7574
2022-01-10,2752.14,,,
2022-01-11,2754.41,0.0,0.09107,0.04553
2022-01-12,2764.28,-0.12327,-0.40967,-0.26647
2022-01-13,2764.6,,,
2022-01-14,2782.9,0.5859,0.2732,0.42955
2022-01-15,,,,
2022-01-16,,,,
2022-01-17,2795.85,,,
2022-01-18,2802.02,0.0,0.0,0.0
2022-01-19,2807.06,,,
2022-01-20,2804.56,-0.31588,-0.02958,-0.17273
2022-01-21,2810.25,0.1779,0.5994,0.38865
2022-01-22,,,,
2022-01-23,,,,
2022-01-24,2799.78,-0.765,0.2748,-0.2451
2022-01-25,2792.61,0.1974,0.22135,0.20938
2022-01-26,2772.94,0.0,0.34,0.17
2022-01-27,2767.02,0.0,0.044,0.022
2022-01-28,2769.9,0.44475,0.2616,0.35317
2022-01-29,,,,
2022-01-30,,,,
2022-01-31,2776.92,-0.32985,-0.33525,-0.33255
2022-02-01,2776.61,0.0,0.4404,0.2202
2022-02-02,2771.01,-0.14513,0.0901,-0.02752
2022-02-03,2767.59,,,
2022-02-04,2771.91,,,
2022-02-05,,-0.8934,-0.6597,-0.77655
2022-02-06,,,,
2022-02-07,2765.64,-0.836,0.0,-0.418
2022-02-08,2762.57,,,
2022-02-09,2763.76,0.1591,0.42245,0.29078
2022-02-10,2761.03,,,
2022-02-11,2762.7,0.1779,0.1779,0.1779
2022-02-12,,,,
2022-02-13,,,,
2022-02-14,2753.16,0.3034,-0.4588,-0.0777
2022-02-15,2750.97,,,
